文学	wénxué	(n) literature
将来	jiānglái	(n) future
挣钱	zhèng qián	(vo) to earn money
金融	jīnróng	(n) finance, banking
整天	zhěng tiān	all day long
数字	shùzì	(n) numeral, figure, digit
打交道	dǎ jiāodào	(vo) to deal with
哲学	zhéxué	(n) philosophy
管	guǎn	(v) to control, to manage, to mind, to care about
申请	shēnqǐng	(v) to apply (to a school or job)
省下来	shěng xia lai	(vc) to save (money, time)
李哲	Lǐ Zhé	(pn) Zhe Li (a personal name)
心事	xīnshì	(n) something that weighs on one’s mind
吵架	chǎo jià	(vo) to quarrel
高中	gāozhōng	(n) senior high school
开朗	kāilǎng	(adj) extroverted, open and sunny in disposition
迷	mí	(n/v) fan; to be infatuated with
演唱会	yǎnchànghuì	(n) vocal concert
爱好	àihào	(n/v) hobby, interest; to love (something)
不同	bù tóng	different, not the same
相处	xiāngchǔ	(v) to get along
到底	dàodǐ	(adv) what on earth, what in the world, in the end
发生	fāshēng	(v) to happen, to occur, to take place
背景	bèijǐng	(n) background
提	tí	(v) to mention, to bring up
心	xīn	(n) heart, mind
根本	gēnběn	(adv) at all, simply
一干二净	yì gān èr jìng	completely, thoroughly [See Grammar 5.]
生气	shēng qì	(vo) to get angry
叫	jiào	(v) to make (someone do something)
陪	péi	(v) to accompany
答应	dāying	(v) to agree (to do something), to promise, to answer
电影院	diànyǐngyuàn	(n) movie theater
分手	fēn shǒu	(vo) to break up, to part company
原来	yuánlái	(adv/adj) as a matter of fact; original, former [See Grammar 4.]
马虎	mǎhu	(adj) careless, perfunctory, mediocre
不停	bùtíng	(adv) continuously, incessantly
道歉	dào qiàn	(vo) to apologize
态度	tàidu	(n) attitude
说不定	shuōbudìng	(adv) perhaps, maybe
实际上	shíjìshang	(adv) in fact, in reality, actually
丢三拉四	diū sān là sì	scatterbrained, forgetful [See Grammar 5.]
钥匙	yàoshi	(n) key
交朋友	jiāo péngyou	(vo) to make friends
网络	wǎngluò	(n) network, the Internet
新闻	xīnwén	(n) news
资料	zīliào	(n) material (reference, academic)
游戏	yóuxì	(n) game
网站	wǎngzhàn	(n) website
博客	bókè	(n) blog
离开	lí kāi	(vc) to leave, to depart from
卡拉OK	kǎlā ōukēi	(n) karaoke
急忙	jímáng	(adv) hastily, in a hurry
下载	xiàzài	(v) to download
软件	ruǎnjiàn	(n) software
结果	jiéguǒ	(conj/n) as a result; result
杂志	zázhì	(n) magazine
垃圾	lājī	(n) garbage, trash
落伍	luòwǔ	(v) to lag behind, to be outdated
可靠	kěkào	(adj) dependable
有用	yǒuyòng	(adj) useful
外卖	wàimài	(n) takeout
衣食住行	yī shí zhù xíng	basic necessities of life (lit. food, clothing, shelter, and transportation)
迟到	chídào	(v) to arrive late
老是	lǎoshì	(adv) always
害	hài	(v) to cause trouble, to harm
敢	gǎn	(mv) to dare
待	dāi	(v) to stay
屋子	wūzi	(n) room
上瘾	shàng yǐn	(vo) to become addicted
严重	yánzhòng	(adj) serious, grave
时代	shídài	(n) era, age
重要	zhòngyào	(adj) important
帮助	bāngzhù	(v/n) to help; help
翻译	fānyì	(v/n) to translate; interpreter, translation
免费	miǎnfèi	(vo) free of charge (lit. exempt from paying the fee)
感觉	gǎnjué	(n/v) feeling, sense perception; to feel, to perceive
受到	shòu dào	(vc) to receive
良好	liánghǎo	(adj) good, fine (literary)
教育	jiàoyù	(n/v) education; to educate
生	shēng	(v) to give birth to, to be born
存	cún	(v) to deposit, to accumulate
收入	shōurù	(n) income
供	gōng	(v) to provide, to support financially
压力	yālì	(n) pressure
大人	dàren	(n) adult
减轻	jiǎnqīng	(v) to lessen
负担	fùdān	(n) burden
适合	shìhé	(v) to suit
影响	yǐngxiǎng	(v/n) to influence, to have an impact; influence
家庭	jiātíng	(n) family, household
取得	qǔdé	(v) to obtain, to gain, to acquire
经验	jīngyàn	(n/v) experience; to experience
零用钱	língyòngqián	(n) pocket money, spending money
奖学金	jiǎngxuéjīn	(n) scholarship money
交	jiāo	(v) to hand over, to turn in
政府	zhèngfǔ	(n) government
贷款	dàikuǎn	(n/vo) loan; to provide a loan
农村	nóngcūn	(n) countryside, village, rural area
工资	gōngzī	(n) wages, pay
低	dī	(adj) low
家教	jiājiào	(n) tutor
遛	liù	(v) to walk (an animal), to stroll
喂	wèi	(v) to feed
猫	māo	(n) cat
读书	dú shū	(vo) to attend school, to study, to read aloud
借	jiè	(v) to borrow, to lend
欠	qiàn	(v) to owe
银行	yínháng	(n) bank
难怪	nánguài	(adv) no wonder
乖	guāi	(adj) obedient, well-behaved (of children)
移民	yímín	(n/v) immigrant; to immigrate
博士	bóshì	(n) doctorate (academic title), Dr. (academic title)
设计	shèjì	(v/n) to design; design
嫂子	sǎozi	(n) older brother’s wife
留学	liú xué	(vo) to study abroad
硕士	shuòshì	(n) master's (academic title)
结婚	jié hūn	(vo) to get married, to marry
幸福	xìngfú	(n/adj) happiness; happy
厉害	lìhai	(adj) terrible, formidable
侄女	zhínǚ	(n) brother’s daughter
小学	xiǎoxué	(n) elementary school
安排	ānpái	(v) to arrange
钢琴	gāngqín	(n) piano
画画儿	huà huàr	(vo) to draw, to paint
抱怨	bàoyuàn	(v) to complain
尊重	zūnzhòng	(v) to respect
选择	xuǎnzé	(n/v) choice; to choose
反对	fǎnduì	(v) to oppose
认为	rènwéi	(v) to think, to consider
童年	tóngnián	(n) childhood
看法	kànfǎ	(n) point of view
做法	zuòfǎ	(n) way of doing things, course of action
完全	wánquán	(adv/adj) completely, fully; complete, whole
理解	lǐjiě	(v) to understand
望子成龙	wàng zǐ chéng lóng	to hope that one’s son will become successful (lit. to hope that one’s son will become a dragon)
望女成凤	wàng nǚ chéng fèng	to hope that one’s daughter will become successful (lit. to hope that one’s daughter will become a phoenix)
番	fān	(m) (measure word for type or kind)
事业	shìyè	(n) career, undertaking
社会	shèhuì	(n) society
知识	zhīshi	(n) knowledge
不是…，而是…	búshì . . . , érshì . . .	it’s not . . . but . . . [See Grammar 3.]
墨西哥	Mòxīgē	(pn) Mexico
地理	dìlǐ	(n) geography
家乡	jiāxiāng	(n) hometown, place of family origin
路线	lùxiàn	(n) route, itinerary
了解	liǎojiě	(v) to understand, to know about, to be informed
一下子	yíxiàzi	(adv) in an instant, all of a sudden
冰灯	bīngdēng	(n) ice lantern
火车	huǒchē	(n) train
船	chuán	(n) boat, ship
风景	fēngjǐng	(n) scenic landscape, scenery
河流	héliú	(n) river
大多	dàduō	(adv) mostly, for the most part
流	liú	(v) to flow
部	bù	(n) part, section
高原	gāoyuán	(n) plateau (lit. high field)
山	shān	(n) mountain, hill
而	ér	(conj) (conjunction to connect two clauses) [See Grammar 2.]
平原	píngyuán	(n) plain (lit. flat field)
海	hǎi	(n) sea, ocean
人口	rénkǒu	(n) population
主要	zhǔyào	(adj) main, principal
沙漠	shāmò	(n) desert
自然	zìrán	(n/adj) nature; natural
