おはよう。	Good morning.
おはよう　ございます。	Good morning. (polite)
こんにちは。	Good afternoon.
こんばんは。	Good evening.
さようなら。	Good-bye.
おやすみなさい。	Good night.
ありがとう。	Thank you.
ありがとう　ございます。	Thank you. (polite)
すみません。	Excuse me.; I'm sorry.
いいえ。	No.; Not at all.
いってきます。	I'll go and come back.
いってらっしゃい。	Please go and come back.
ただいま。	I'm home.
おかえりなさい。	Welcome home.
いただきます。	Thank you for the meal. (before eating)
ごちそうさま。	Thank you for the meal. (after eating)
はじめまして。	How do you do?
どうぞ　よろしく。	Nice to meet you.
