개	dog
고양이	cat
물고기	fish
새	bird
소	cow
쥐	mouse
말	horse
날개	wing
동물	animal
기차	train
비행기	airplane
차	car
트럭	truck
자정거	bicycle
버스	bus
배	boat; pear; stomach
선박	a commercial ship/vessel
타이어	tire
기름	oil; gasoline
엔진	engine
기차표	train ticket
교통	transportation; traffic
도시	city
집	house
길	street
도로	road
공항	airport
기차역	train station
다리	bridge; leg
호텔	hotel
식당	restaurant
농장	farm
재판소	courthouse (legal)
학교	school
사무실	office
방	room
마을	village, town
대학교	university
클럽	club
술집	bar
공원	park
캠프	camp
가게	store
극장	theater
도서관	library
병원	hospital
교회	church
시장	market
나라	country
건물	building
바닥	floor
공간	space, room
은행	bank
위치	location
모자	hat
드레스	dress
양복	suit
치마	skirt
티셔츠	t-shirt
바지	pants
신발	shoes
주머니	pocket
코트	coat
얼룩	stain
옷	clothes
빨간색	red
초록색	green
파랑색	blue
노랑색	yellow
곤색	navy blue
분홍색	pink
갈색	brown
오랜지색	orange
검은색	black
하얀색	white
회색	gray
색깔	color
아들	son
딸	daughter
엄마	mom
아빠	dad
부모님	parents
애기	baby
남자	man
여자	woman
형	the older brother of a male
누나	the older sister of a male
오빠	the older brother of a female
언니	the older sister of a female
할아버지	grandfather
할머니	grandmother
남편	husband
아내	wife
왕	king
여왕	queen
대통령	president
옆집 사람	neighbour
여자아이	little girl
남자아이	little boy
성인	adult
인간	human being
친구	friend
피해자	victim
선수	player
팬	fan
군중	crowd
사람	person
선생님	teacher
학생	student
변호사	lawyer
의사	doctor
환자	patient
웨이터	waiter
비서	secretary
신부님	priest
경찰	police
군대	army
군인	soldier
예술가	artist
저자	author
매니저	manager
기자	reporter
배우	actor
직업	job
종교	religion
천국	heaven
지옥	hell
죽음	death
약	medicine
돈	money
원	won (Korean currency)
지폐	paper money (bill)
결혼	marriage
결혼식	wedding
팀	team
인종	ethnicity
섹스	sex
성별	gender
살인	murder
교도소	prison
기술	technology
정력	stamina, energy
전쟁	war
평화	peace
공격	attack
선거	election
잡지	magazine
신문	newspaper
독	poison
총	gun
스포츠	sports
경주	race
운동	exercise, workout
공	ball
게임	game
가격	price
계약서	contract
마약	drug
간판	signboard
과학	science
하느님	god
밴드	band
노래	song
악기	musical instrument
음악	music
영화	movie
미술	art
커피	coffee
차	tea
맥주	beer
쥬스	juice
물	water
우유	milk
음료수	beverage
계란	egg
치즈	cheese
국물	soup, broth
케이크	cake
닭	chicken
돼지고기	pork
소고기	beef
사과	apple
바나나	banana
오렌지	orange
레몬	lemon
옥수수	corn
쌀	uncooked rice
밥	rice; meal
식용유	cooking oil
씨	seed
칼	knife
숟가락	spoon
포크	fork
접시	plate
컵	cup
아침	morning; breakfast
점심	lunch
저녁	dinner; evening
설탕	sugar
소금	salt
병	bottle
음식	food
책상	desk
탁자	coffee table
식탁	dining table
의자	chair
침대	bed
꿈	dream
창문	window
문	door
침실	bedroom
부엌	kitchen
화장실	bathroom
연필	pencil
볼팬	pen
사진	photo
비누	soap
책	book
페이지	page
열쇠	key
페인트	paint
편지	letter
메모	note
벽	wall
종이	paper
천장	ceiling
지붕	roof
수영장	swimming pool
자물쇠	lock
전화기	phone
정원	garden
마당	yard
바늘	needle
가방	bag
상자	box
선물	gift, present
카드	card
반지	ring
도구	tool
시계	clock, watch
램프	lamp
휴대폰	cell phone
네트워크	network
컴퓨터	computer
노트북	laptop
화면	screen
카메라	camera
텔레비전	television
라디오	radio
머리	head
목	neck
얼굴	face
턱수염	beard
머리카락	hair
눈	eye
입	mouth
입술	lips
코	nose
